Rank,Model,Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
105,Snowflake/snowflake-arctic-embed-l,100,0.335,0.335,1024,512,27.37,27.37,27.37
106,Snowflake/snowflake-arctic-embed-s,100,0.033,0.033,384,512,27.33,27.33,27.33
107,w601sxs/b1ade-embed,100,0.335,0.335,1024,4096,27.29,27.29,27.29
108,BidirLM/BidirLM-0.6B-Embedding,100,0.596,0.596,1024,8192,26.95,26.95,26.95
109,codefuse-ai/F2LLM-v2-160M,100,0.159,0.159,640,40960,26.91,26.91,26.91
110,Bytedance/Seed1.6-embedding-1215,100,,,2048,32768,26.70,26.70,26.70
111,deepvk/USER-bge-m3,87,0.359,0.359,1024,8194,26.69,26.69,26.69
112,Haon-Chen/speed-embedding-7b-instruct,NA,7.111,7.111,,32768,26.41,26.41,26.41
113,Cohere/Cohere-embed-english-v3.0,NA,,,1024,512,26.38,26.38,26.38
114,codefuse-ai/F2LLM-v2-330M,100,0.334,0.334,896,40960,26.23,26.23,26.23
115,telepix/PIXIE-Rune-v1.0,100,0.568,0.568,1024,6144,26.17,26.17,26.17
116,BAAI/bge-m3-unsupervised,87,0.568,0.568,1024,8192,26.16,26.16,26.16
117,ibm-granite/granite-embedding-278m-multilingual,100,0.278,0.278,768,512,26.08,26.08,26.08
118,bigscience/sgpt-bloom-7b1-msmarco,NA,7.068,7.068,4096,,25.93,25.93,25.93
119,Lajavaness/bilingual-embedding-small,100,0.118,0.118,384,512,25.88,25.88,25.88
120,Cohere/Cohere-embed-english-light-v3.0,NA,,,384,512,25.72,25.72,25.72
121,MongoDB/mdbr-leaf-ir,100,0.023,0.023,768,512,25.55,25.55,25.55
122,Lajavaness/bilingual-embedding-large,100,0.56,0.56,1024,514,25.16,25.16,25.16
123,jinaai/jina-embedding-s-en-v1,100,0.035,0.035,512,512,25.05,25.05,25.05
124,BidirLM/BidirLM-270M-Embedding,100,0.268,0.268,640,32768,24.83,24.83,24.83
125,mixedbread-ai/mxbai-embed-large-v1,100,0.335,0.335,1024,512,24.75,24.75,24.75
126,WhereIsAI/UAE-Large-V1,100,0.335,0.335,1024,512,24.45,24.45,24.45
